model,mode,category,scenario_count,tp,fp,fn,precision,recall,f1,exact_match_count,scenario_exact_match_accuracy,exact_match_ci95_low,exact_match_ci95_high,clean_scenario_count,clean_design_specificity,unsupported_claim_rate,parse_success_rate,invalid_finding_rate,abstention_rate,citation_correctness,traceability_completeness,human_review_flag_coverage,automatic_modification_count,prompt_tokens,output_tokens,mean_latency_ms,median_latency_ms,p95_latency_ms
llama3.1:8b,hybrid_explainer,clean,5,0,25,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,8752,3184,186086.0471999913,184122.12849999196,202298.06420000386
llama3.1:8b,hybrid_explainer,mixed_fault,10,25,2,4,0.9259259259259259,0.8620689655172413,0.8928571428571429,7,0.7,0.39677814746114537,0.8922087325936989,0,0.0,0.07407407407407407,1.0,0.0,0.0,1.0,1.0,1.0,0,20241,4099,136957.3631700012,134985.94805000175,220338.5045999894
llama3.1:8b,hybrid_explainer,single_fault,25,22,40,3,0.3548387096774194,0.88,0.5057471264367815,10,0.4,0.23403302377747973,0.5926054264103301,0,0.0,0.6451612903225806,0.88,0.0,0.12,1.0,1.0,1.0,0,43828,13255,144790.4157679947,135287.1878000151,277040.69210001035
llama3.1:8b,llm_only,clean,5,0,22,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,8527,3189,188707.58026000694,195273.57350001694,218612.3766999808
llama3.1:8b,llm_only,mixed_fault,10,0,30,29,0.0,0.0,0.0,0,0.0,0.0,0.2775327998628892,0,0.0,1.0,1.0,0.0,0.0,1.0,0.9,1.0,0,17825,4598,132000.7887500018,127214.1924000025,179785.72399998666
llama3.1:8b,llm_only,single_fault,25,10,55,15,0.15384615384615385,0.4,0.2222222222222222,0,0.0,1.3877787807814457e-17,0.13319225093904846,0,0.0,0.8461538461538461,0.92,0.0,0.08,1.0,0.9846153846153847,1.0,0,44813,12316,143485.18802400096,113836.51390002342,273143.79299999564
llama3.1:8b,retrieval_grounded,clean,5,0,25,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,8692,3042,183685.70400000317,178872.35180000425,196153.90560001833
llama3.1:8b,retrieval_grounded,mixed_fault,10,0,48,29,0.0,0.0,0.0,0,0.0,0.0,0.2775327998628892,0,0.0,1.0,1.0,0.0,0.0,0.0,0.9375,1.0,0,18155,5976,158182.27176000655,157315.0529500126,177369.52730000485
llama3.1:8b,retrieval_grounded,single_fault,25,12,71,13,0.14457831325301204,0.48,0.22222222222222218,0,0.0,1.3877787807814457e-17,0.13319225093904846,0,0.0,0.8554216867469879,0.96,0.0,0.04,0.0,1.0,1.0,0,43334,12430,136676.7442360043,130247.87460002699,215514.08769999398
mistral:7b,hybrid_explainer,clean,5,0,14,0,0.0,0.0,0.0,0,0.0,0.0,0.43448246478317476,5,0.0,1.0,0.8,0.0,0.2,0.0,1.0,1.0,0,11652,3702,204271.071080002,191322.0743999991,294513.23969999794
