model,mode,rule_id,support,tp,fp,fn,precision,recall,f1
llama3.1:8b,hybrid_explainer,AE-R001,12,7,20,5,0.25925925925925924,0.5833333333333334,0.358974358974359
llama3.1:8b,hybrid_explainer,AE-R002,10,8,14,2,0.36363636363636365,0.8,0.5000000000000001
llama3.1:8b,hybrid_explainer,AE-R003,11,11,5,0,0.6875,1.0,0.8148148148148148
llama3.1:8b,hybrid_explainer,AE-R004,12,12,11,0,0.5217391304347826,1.0,0.6857142857142856
llama3.1:8b,hybrid_explainer,AE-R005,9,9,17,0,0.34615384615384615,1.0,0.5142857142857142
llama3.1:8b,llm_only,AE-R001,12,3,6,9,0.3333333333333333,0.25,0.28571428571428575
llama3.1:8b,llm_only,AE-R002,10,3,26,7,0.10344827586206896,0.3,0.15384615384615385
llama3.1:8b,llm_only,AE-R003,11,0,23,11,0.0,0.0,0.0
llama3.1:8b,llm_only,AE-R004,12,0,32,12,0.0,0.0,0.0
llama3.1:8b,llm_only,AE-R005,9,4,20,5,0.16666666666666666,0.4444444444444444,0.24242424242424243
llama3.1:8b,retrieval_grounded,AE-R001,12,3,24,9,0.1111111111111111,0.25,0.15384615384615383
llama3.1:8b,retrieval_grounded,AE-R002,10,5,30,5,0.14285714285714285,0.5,0.22222222222222224
llama3.1:8b,retrieval_grounded,AE-R003,11,0,32,11,0.0,0.0,0.0
llama3.1:8b,retrieval_grounded,AE-R004,12,0,38,12,0.0,0.0,0.0
llama3.1:8b,retrieval_grounded,AE-R005,9,4,20,5,0.16666666666666666,0.4444444444444444,0.24242424242424243
mistral:7b,hybrid_explainer,AE-R001,12,1,19,11,0.05,0.08333333333333333,0.0625
mistral:7b,hybrid_explainer,AE-R002,10,9,4,1,0.6923076923076923,0.9,0.7826086956521738
mistral:7b,hybrid_explainer,AE-R003,11,11,0,0,1.0,1.0,1.0
mistral:7b,hybrid_explainer,AE-R004,12,12,4,0,0.75,1.0,0.8571428571428571
mistral:7b,hybrid_explainer,AE-R005,9,8,5,1,0.6153846153846154,0.8888888888888888,0.7272727272727274
mistral:7b,llm_only,AE-R001,12,0,3,12,0.0,0.0,0.0
mistral:7b,llm_only,AE-R002,10,0,15,10,0.0,0.0,0.0
mistral:7b,llm_only,AE-R003,11,0,10,11,0.0,0.0,0.0
mistral:7b,llm_only,AE-R004,12,0,8,12,0.0,0.0,0.0
mistral:7b,llm_only,AE-R005,9,3,28,6,0.0967741935483871,0.3333333333333333,0.15000000000000002
mistral:7b,retrieval_grounded,AE-R001,12,0,15,12,0.0,0.0,0.0
mistral:7b,retrieval_grounded,AE-R002,10,3,17,7,0.15,0.3,0.2
mistral:7b,retrieval_grounded,AE-R003,11,0,18,11,0.0,0.0,0.0
mistral:7b,retrieval_grounded,AE-R004,12,0,23,12,0.0,0.0,0.0
mistral:7b,retrieval_grounded,AE-R005,9,3,12,6,0.2,0.3333333333333333,0.25
qwen2.5:7b,hybrid_explainer,AE-R001,12,9,5,3,0.6428571428571429,0.75,0.6923076923076924
qwen2.5:7b,hybrid_explainer,AE-R002,10,10,11,0,0.47619047619047616,1.0,0.6451612903225806
qwen2.5:7b,hybrid_explainer,AE-R003,11,11,0,0,1.0,1.0,1.0
qwen2.5:7b,hybrid_explainer,AE-R004,12,7,13,5,0.35,0.5833333333333334,0.4375
qwen2.5:7b,hybrid_explainer,AE-R005,9,9,4,0,0.6923076923076923,1.0,0.8181818181818181
qwen2.5:7b,llm_only,AE-R001,12,3,15,9,0.16666666666666666,0.25,0.2
qwen2.5:7b,llm_only,AE-R002,10,0,11,10,0.0,0.0,0.0
qwen2.5:7b,llm_only,AE-R003,11,0,7,11,0.0,0.0,0.0
qwen2.5:7b,llm_only,AE-R004,12,0,41,12,0.0,0.0,0.0
qwen2.5:7b,llm_only,AE-R005,9,3,26,6,0.10344827586206896,0.3333333333333333,0.15789473684210528
qwen2.5:7b,retrieval_grounded,AE-R001,12,0,12,12,0.0,0.0,0.0
qwen2.5:7b,retrieval_grounded,AE-R002,10,1,21,9,0.045454545454545456,0.1,0.06250000000000001
qwen2.5:7b,retrieval_grounded,AE-R003,11,0,8,11,0.0,0.0,0.0
qwen2.5:7b,retrieval_grounded,AE-R004,12,0,32,12,0.0,0.0,0.0
qwen2.5:7b,retrieval_grounded,AE-R005,9,5,10,4,0.3333333333333333,0.5555555555555556,0.4166666666666667
