model,mode,scenario_id,category,expected,predicted,false_positives,false_negatives,invalid_finding_count,parse_success,abstained,latency_ms
qwen2.5:7b,llm_only,clean-000,clean,,AE-R004@wires[5].source.component_id; AE-R005@wires[6].requirement_ids,AE-R004@wires[5].source.component_id; AE-R005@wires[6].requirement_ids,,0,True,False,146522.47329999227
qwen2.5:7b,llm_only,clean-001,clean,,AE-R004@wires[3].source.component_id; AE-R004@wires[6].target.component_id,AE-R004@wires[3].source.component_id; AE-R004@wires[6].target.component_id,,0,True,False,82401.98859997327
qwen2.5:7b,llm_only,clean-002,clean,,AE-R004@wires[1].source.component_id; AE-R004@wires[5].source.component_id,AE-R004@wires[1].source.component_id; AE-R004@wires[5].source.component_id,,0,True,False,112587.3623000225
qwen2.5:7b,llm_only,clean-003,clean,,AE-R004@wires[5].source.component_id; AE-R005@wires[3].requirement_ids,AE-R004@wires[5].source.component_id; AE-R005@wires[3].requirement_ids,,0,True,False,85726.00720002083
qwen2.5:7b,llm_only,clean-004,clean,,AE-R005@wires[W-0004-06].requirement_ids,AE-R005@wires[W-0004-06].requirement_ids,,0,True,False,94409.55450001638
qwen2.5:7b,llm_only,mixed-000,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R004@wires[0].target,AE-R004@wires[0].target,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,68828.46709998557
qwen2.5:7b,llm_only,mixed-001,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R004@wires[3].source.pin_id; AE-R004@wires[5].source.pin_id; AE-R005@wires[1].target,AE-R004@wires[3].source.pin_id; AE-R004@wires[5].source.pin_id; AE-R005@wires[1].target,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,91645.29469999252
qwen2.5:7b,llm_only,mixed-002,mixed_fault,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,AE-R004@wires[0].target,AE-R004@wires[0].target,AE-R002@components[1].id; AE-R003@wires[0].target.pin_id; AE-R005@wires[2].requirement_ids,0,True,False,72943.25499999104
qwen2.5:7b,llm_only,mixed-003,mixed_fault,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids,AE-R005@wires[0].requirement_ids; AE-R005@wires[3].requirement_ids; AE-R005@wires[4].requirement_ids,AE-R001@components[0].part_number; AE-R004@wires[1]; AE-R005@wires[2].requirement_ids,0,True,False,125230.19000003114
qwen2.5:7b,llm_only,mixed-004,mixed_fault,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],AE-R004@wires[2].source; wires[3].target; AE-R005@wires[5].target,AE-R004@wires[2].source; wires[3].target; AE-R005@wires[5].target,AE-R001@components[0].part_number; AE-R003@wires[0].target.pin_id; AE-R004@wires[1],0,True,False,76790.45770002995
qwen2.5:7b,llm_only,mixed-005,mixed_fault,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,AE-R004@wires[5].target,AE-R004@wires[5].target,AE-R001@components[0].part_number; AE-R002@components[1].id; AE-R003@wires[0].target.pin_id,0,True,False,64812.30420002248
qwen2.5:7b,llm_only,mixed-006,mixed_fault,AE-R002@components[1].id; AE-R004@wires[1],AE-R004@wires[1].source.component_id; AE-R004@wires[5].target.component_id,AE-R004@wires[1].source.component_id; AE-R004@wires[5].target.component_id,AE-R002@components[1].id; AE-R004@wires[1],0,True,False,100750.87089999579
