"Scenario","Category","Candidates","Accepted","Raw","Rejected","Coverage"
"clean-000","clean","0","0","0","0","1"
"clean-001","clean","0","0","0","0","1"
"clean-002","clean","0","0","0","0","1"
"clean-003","clean","0","0","0","0","1"
"clean-004","clean","0","0","0","0","1"
"single-ae-r001-000","single_fault","1","1","2","1","1"
"single-ae-r001-001","single_fault","1","1","1","0","1"
"single-ae-r001-002","single_fault","1","1","4","3","1"
"single-ae-r001-003","single_fault","1","1","5","4","1"
"single-ae-r001-004","single_fault","1","1","1","0","1"
"single-ae-r002-000","single_fault","1","1","4","3","1"
"single-ae-r002-001","single_fault","1","1","2","1","1"
"single-ae-r002-002","single_fault","1","1","2","1","1"
"single-ae-r002-003","single_fault","1","1","3","2","1"
"single-ae-r002-004","single_fault","1","1","6","5","1"
"single-ae-r003-000","single_fault","1","1","1","0","1"
"single-ae-r003-001","single_fault","1","1","1","0","1"
"single-ae-r003-002","single_fault","1","1","1","0","1"
"single-ae-r003-003","single_fault","1","1","1","0","1"
"single-ae-r003-004","single_fault","1","1","1","0","1"
"single-ae-r004-000","single_fault","1","1","3","2","1"
"single-ae-r004-001","single_fault","1","1","1","0","1"
"single-ae-r004-002","single_fault","1","1","1","0","1"
"single-ae-r004-003","single_fault","1","1","3","2","1"
"single-ae-r004-004","single_fault","1","1","4","3","1"
"single-ae-r005-000","single_fault","1","1","1","0","1"
"single-ae-r005-001","single_fault","1","1","1","0","1"
"single-ae-r005-002","single_fault","1","1","1","0","1"
"single-ae-r005-003","single_fault","1","1","1","0","1"
"single-ae-r005-004","single_fault","1","1","1","0","1"
"mixed-000","mixed_fault","4","4","4","0","1"
"mixed-001","mixed_fault","5","5","5","0","1"
"mixed-002","mixed_fault","3","3","3","0","1"
"mixed-003","mixed_fault","3","3","3","0","1"
"mixed-004","mixed_fault","3","2","3","1","0.667"
"mixed-005","mixed_fault","3","3","3","0","1"
"mixed-006","mixed_fault","2","1","2","1","0.5"
"mixed-007","mixed_fault","2","2","2","0","1"
"mixed-008","mixed_fault","2","2","2","0","1"
"mixed-009","mixed_fault","2","2","2","0","1"
